15,8,circuit/sycamore15_8_IJKL_E4layer.txt,47330, 47330, 47330, 47330, 47330, 47330, 47330, 47330
18,8,circuit/sycamore18_8_IJKL_E4layer.txt,68068,68068,68068,68068,68068,68068,68068,68068
21,8,circuit/sycamore21_8_IJKL_E4layer.txt,331460,331460,331460,331460,331460,331460,331460,331460
24,8,circuit/sycamore24_8_IJKL_E4layer.txt,540932,540932,540932,540932,540932,540932,540932,540932
27,8,circuit/sycamore27_8_IJKL_E4layer.txt,1750864,1750864,1750864,1750864,1750864,1750864,1750864,1750864
30,8,circuit/sycamore30_8_IJKL_E4layer.txt,6300676,6300676,6300676,6300676,6300676,6300676,6300676,6300676
33,8,circuit/sycamore33_8_IJKL_E4layer.txt,5826306,5826306,5826306,5826306,5826306,5826306,5826306,5826306
36,8,circuit/sycamore36_8_IJKL_E4layer.txt,8551426,8551426,8551426,8551426,8551426,8551426,8551426,8551426
39,8,circuit/sycamore39_8_IJKL_E4layer.txt,65810692,65810692,65810692,65810692,65810692,65810692,65810692,65810692
42,8,circuit/sycamore42_8_IJKL_E4layer.txt,409696516,141963780,141963780,141963780,141963780,141963780,141963780,141963780
45,8,circuit/sycamore45_8_IJKL_E4layer.txt,656619780,215857412,154246212,154246212,154246212,154246212,154246212,154246212
48,8,circuit/sycamore48_8_IJKL_E4layer.txt,15911492,15911492,15911492,15911492,15911492,15911492,15911492,15911492
51,8,circuit/sycamore51_8_IJKL_E4layer.txt,22013508,22013508,22013508,22013508,22013508,22013508,22013508,22013508
54,8,circuit/sycamore54_8_IJKL_E4layer.txt,55000130,55000130,55000130,55000130,55000130,55000130,55000130,55000130
60,8,circuit/sycamore60_8_IJKL_E4layer.txt,95643856,95643856,95643856,95643856,95643856,95643856,95643856,95643856
66,8,circuit/sycamore66_8_IJKL_E4layer.txt,412637188,412637188,412637188,412637188,412637188,412637188,412637188,412637188
15,8,circuit/sycamore15_8_IJKL_fullcircuit.txt,45738,45738,45738,45738,45738,45738,45738,45738
18,8,circuit/sycamore18_8_IJKL_fullcircuit.txt,69956,69956,69956,69956,69956,69956,69956,69956
21,8,circuit/sycamore21_8_IJKL_fullcircuit.txt,709828,709828,709828,709828,709828,709828,709828,709828
24,8,circuit/sycamore24_8_IJKL_fullcircuit.txt,2057668,2057668,2057668,2057668,2057668,2057668,2057668,2057668
27,8,circuit/sycamore27_8_IJKL_fullcircuit.txt,8263108,8263108,8263108,8263108,8263108,8263108,8263108,8263108
30,8,circuit/sycamore30_8_IJKL_fullcircuit.txt,43654660,43654660,43654660,43654660,43654660,43654660,43654660,43654660
33,8,circuit/sycamore33_8_IJKL_fullcircuit.txt,29551106,29551106,29551106,29551106,29551106,29551106,29551106,29551106
36,8,circuit/sycamore36_8_IJKL_fullcircuit.txt,45664770,45664770,45664770,45664770,45664770,45664770,45664770,45664770
39,8,circuit/sycamore39_8_IJKL_fullcircuit.txt,202237444,202237444,202237444,202237444,202237444,202237444,202237444,202237444
42,8,circuit/sycamore42_8_IJKL_fullcircuit.txt,1370809860,1370809860,1370809860,1370809860,1370809860,1370809860,1370809860,1370809860
45,8,circuit/sycamore45_8_IJKL_fullcircuit.txt,10483983876,10029929028,10029929028,10029929028,10029929028,10029929028,10029929028,10029929028
48,8,circuit/sycamore48_8_IJKL_fullcircuit.txt,104345668,104345668,104345668,104345668,104345668,104345668,104345668,104345668
51,8,circuit/sycamore51_8_IJKL_fullcircuit.txt,128670788,128670788,128670788,128670788,128670788,128670788,128670788,128670788
54,8,circuit/sycamore54_8_IJKL_fullcircuit.txt,518670914,518670914,518670914,518670914,518670914,518670914,518670914,518670914
60,8,circuit/sycamore60_8_IJKL_fullcircuit.txt,843272400,843272400,843272400,843272400,843272400,843272400,843272400,843272400
66,8,circuit/sycamore66_8_IJKL_fullcircuit.txt,2016256516,2016256516,2016256516,2016256516,2016256516,2016256516,2016256516,2016256516
66,8,circuit/sycamore66_8_MNOP_fullcircuit.txt,2016256516,2016256516,2016256516,2016256516,2016256516,2016256516,2016256516,2016256516
15,8,circuit/sycamore15_8_IJKL_ABCDlike.txt,430,430,430,430,430,430,430,430
18,8,circuit/sycamore18_8_IJKL_ABCDlike.txt,594,594,594,594,594,594,594,594
21,8,circuit/sycamore21_8_IJKL_ABCDlike.txt,1090,1090,1090,1090,1090,1090,1090,1090
24,8,circuit/sycamore24_8_IJKL_ABCDlike.txt,2514,2514,2514,2514,2514,2514,2514,2514
27,8,circuit/sycamore27_8_IJKL_ABCDlike.txt,4434,4434,4434,4434,4434,4434,4434,4434
30,8,circuit/sycamore30_8_IJKL_ABCDlike.txt,8530,8530,8530,8530,8530,8530,8530,8530
33,8,circuit/sycamore33_8_IJKL_ABCDlike.txt,11330,11330,11330,11330,11330,11330,11330,11330
36,8,circuit/sycamore36_8_IJKL_ABCDlike.txt,16130,16130,16130,16130,16130,16130,16130,16130
39,8,circuit/sycamore39_8_IJKL_ABCDlike.txt,20322,20322,20322,20322,20322,20322,20322,20322
42,8,circuit/sycamore42_8_IJKL_ABCDlike.txt,34562,34562,34562,34562,34562,34562,34562,34562
